tconst,primaryTitle,rank,imgUrl
tt0111161,The Shawshank Redemption,1,not-evaluated-yet
tt0068646,The Godfather,2,not-evaluated-yet
tt0468569,The Dark Knight,3,not-evaluated-yet
tt0071562,The Godfather: Part II,4,not-evaluated-yet
tt0110912,Pulp Fiction,5,not-evaluated-yet
tt0167260,The Lord of the Rings: The Return of the King,6,not-evaluated-yet
tt0108052,Schindler's List,7,not-evaluated-yet
tt0060196,The Good,8,not-evaluated-yet
tt0050083,12 Angry Men,9,not-evaluated-yet
tt1375666,Inception,10,not-evaluated-yet
tt0137523,Fight Club,11,not-evaluated-yet
tt0109830,Forrest Gump,12,not-evaluated-yet
tt0120737,The Lord of the Rings: The Fellowship of the Ring,13,not-evaluated-yet
tt0080684,Star Wars: Episode V - The Empire Strikes Back,14,not-evaluated-yet
tt0133093,The Matrix,15,not-evaluated-yet
tt0167261,The Lord of the Rings: The Two Towers,16,not-evaluated-yet
tt0076759,Star Wars: Episode IV - A New Hope,17,not-evaluated-yet
tt0099685,Goodfellas,18,not-evaluated-yet
tt0073486,One Flew Over the Cuckoo's Nest,19,not-evaluated-yet
tt0114369,Se7en,20,not-evaluated-yet
tt0816692,Interstellar,21,not-evaluated-yet
tt0102926,The Silence of the Lambs,22,not-evaluated-yet
tt0120815,Saving Private Ryan,23,not-evaluated-yet
tt0114814,The Usual Suspects,24,not-evaluated-yet
tt0110413,LÃ©on: The Professional,25,not-evaluated-yet
tt1675434,The Intouchables,26,not-evaluated-yet
tt0317248,City of God,27,not-evaluated-yet
tt0245429,Spirited Away,28,not-evaluated-yet
tt0118799,Life Is Beautiful,29,not-evaluated-yet
tt0172495,Gladiator,30,not-evaluated-yet
tt0407887,The Departed,31,not-evaluated-yet
tt0482571,The Prestige,32,not-evaluated-yet
tt0209144,Memento,33,not-evaluated-yet
tt0120689,The Green Mile,34,not-evaluated-yet
tt0120586,American History X,35,not-evaluated-yet
tt0088763,Back to the Future,36,not-evaluated-yet
tt0103064,Terminator 2,37,not-evaluated-yet
tt0110357,The Lion King,38,not-evaluated-yet
tt0082971,Raiders of the Lost Ark,39,not-evaluated-yet
tt0078748,Alien,40,not-evaluated-yet
tt0253474,The Pianist,41,not-evaluated-yet
tt2582802,Whiplash,42,not-evaluated-yet
tt0078788,Apocalypse Now,43,not-evaluated-yet
tt0054215,Psycho,44,not-evaluated-yet
tt0034583,Casablanca,45,not-evaluated-yet
tt1345836,The Dark Knight Rises,46,not-evaluated-yet
tt1853728,Django Unchained,47,not-evaluated-yet
tt0169547,American Beauty,48,not-evaluated-yet
tt0112573,Braveheart,49,not-evaluated-yet
tt0910970,WALLÂ·E,50,not-evaluated-yet
tt0086190,Star Wars: Episode VI - Return of the Jedi,51,not-evaluated-yet
tt0081505,The Shining,52,not-evaluated-yet
tt0090605,Aliens,53,not-evaluated-yet
tt0364569,Oldboy,54,not-evaluated-yet
tt0372784,Batman Begins,55,not-evaluated-yet
tt0361748,Inglourious Basterds,56,not-evaluated-yet
tt1049413,Up,57,not-evaluated-yet
tt0338013,Eternal Sunshine of the Spotless Mind,58,not-evaluated-yet
tt0105236,Reservoir Dogs,59,not-evaluated-yet
tt0114709,Toy Story,60,not-evaluated-yet
tt0119217,Good Will Hunting,61,not-evaluated-yet
tt0208092,Snatch,62,not-evaluated-yet
tt0180093,Requiem for a Dream,63,not-evaluated-yet
tt0066921,A Clockwork Orange,64,not-evaluated-yet
tt0435761,Toy Story 3,65,not-evaluated-yet
tt0086250,Scarface,66,not-evaluated-yet
tt0211915,AmÃ©lie,67,not-evaluated-yet
tt0097576,Indiana Jones and the Last Crusade,68,not-evaluated-yet
tt0075314,Taxi Driver,69,not-evaluated-yet
tt0093058,Full Metal Jacket,70,not-evaluated-yet
tt0062622,2001: A Space Odyssey,71,not-evaluated-yet
tt0119488,L.A. Confidential,72,not-evaluated-yet
tt0071853,Monty Python and the Holy Grail,73,not-evaluated-yet
tt0993846,The Wolf of Wall Street,74,not-evaluated-yet
tt0434409,V for Vendetta,75,not-evaluated-yet
tt0268978,A Beautiful Mind,76,not-evaluated-yet
tt0095016,Die Hard,77,not-evaluated-yet
tt1205489,Gran Torino,78,not-evaluated-yet
tt0118715,The Big Lebowski,79,not-evaluated-yet
tt0083658,Blade Runner,80,not-evaluated-yet
tt0117951,Trainspotting,81,not-evaluated-yet
tt0457430,Pan's Labyrinth,82,not-evaluated-yet
tt0113277,Heat,83,not-evaluated-yet
tt0120735,Lock,84,not-evaluated-yet
tt2096673,Inside Out,85,not-evaluated-yet
tt0848228,The Avengers,86,not-evaluated-yet
tt1130884,Shutter Island,87,not-evaluated-yet
tt0266697,Kill Bill: Vol. 1,88,not-evaluated-yet
tt2015381,Guardians of the Galaxy,89,not-evaluated-yet
tt0266543,Finding Nemo,90,not-evaluated-yet
tt0167404,The Sixth Sense,91,not-evaluated-yet
tt0120382,The Truman Show,92,not-evaluated-yet
tt0107290,Jurassic Park,93,not-evaluated-yet
tt0477348,No Country for Old Men,94,not-evaluated-yet
tt1392190,Mad Max: Fury Road,95,not-evaluated-yet
tt2267998,Gone Girl,96,not-evaluated-yet
tt0198781,Monsters,97,not-evaluated-yet
tt0246578,Donnie Darko,98,not-evaluated-yet
tt0264464,Catch Me If You Can,99,not-evaluated-yet
tt1201607,Harry Potter and the Deathly Hallows: Part 2,100,not-evaluated-yet
